Date,Open,High,Low,Close,Volume,Market Cap
2022/5/10,30074.23,32658.99,29730.4,31017.1,165532.0031,165532.0031
2022/5/9,34038.39,34243.15,30033.33,30076.31,191876.9264,191876.9264
2022/5/8,35472.4,35514.22,33713.95,34038.4,72445.64344,72445.64344
2022/5/7,36013.77,36146.3,34785,35472.39,34281.70682,34281.70682
2022/5/6,36552.97,36675.63,35258,36013.77,68437.80187,68437.80187
2022/5/5,39690,39845.51,35571.9,36552.97,88722.43355,88722.43355
2022/5/4,37728.95,40023.77,37670,39690,62574.61736,62574.61736
2022/5/3,38525.16,38651.51,37517.8,37728.95,40316.45358,40316.45358
2022/5/2,38468.35,39167.34,38052,38525.16,53200.92628,53200.92628
2022/5/1,37630.8,38675,37386.38,38468.35,38812.24104,38812.24104
2022/4/30,38596.11,38795.38,37578.2,37630.8,35321.18989,35321.18989
2022/4/29,39742.06,39925.25,38175,38596.11,51453.65715,51453.65715
2022/4/28,39235.72,40372.63,38881.43,39742.07,56086.6715,56086.6715
2022/4/27,38112.64,39474.72,37881.31,39235.72,57083.12272,57083.12272
2022/4/26,40426.08,40797.31,37702.26,38112.65,66650.258,66650.258
2022/4/25,39450.12,40616,38200,40426.08,63037.12784,63037.12784
2022/4/24,39441.61,39940,38929.62,39450.13,26703.61186,26703.61186
2022/4/23,39709.19,39980,39285,39441.6,20291.42375,20291.42375
2022/4/22,40480.01,40795.06,39177,39709.18,46664.0196,46664.0196
2022/4/21,41358.19,42976,39751,40480.01,59316.27657,59316.27657
2022/4/20,41493.19,42199,40820,41358.19,40877.35041,40877.35041
2022/4/19,40801.13,41760,40571,41493.18,35788.85843,35788.85843
2022/4/18,39678.11,41116.73,38536.51,40801.13,54243.49575,54243.49575
2022/4/17,40378.7,40595.67,39546.17,39678.12,19988.49259,19988.49259
2022/4/16,40551.9,40709.35,39991.55,40378.71,15805.44718,15805.44718
2022/4/15,39942.37,40870.36,39766.4,40551.9,24026.35739,24026.35739
2022/4/14,41147.78,41500,39551.94,39942.38,36807.01401,36807.01401
2022/4/13,40074.95,41561.31,39588.54,41147.79,41342.27254,41342.27254
2022/4/12,39530.45,40699,39254.63,40074.94,57751.01778,57751.01778
2022/4/11,42158.85,42414.71,39200,39530.45,63560.44721,63560.44721
2022/4/10,42753.96,43410.3,41868,42158.85,22771.09403,22771.09403
2022/4/9,42252.02,42800,42125.48,42753.97,17891.66047,17891.66047
2022/4/8,43444.2,43970.62,42107.14,42252.01,42375.04203,42375.04203
2022/4/7,43170.47,43900.99,42727.35,43444.19,37396.54156,37396.54156
2022/4/6,45497.54,45507.14,43121,43170.47,60849.32936,60849.32936
2022/4/5,46580.5,47200,45353.81,45497.55,42192.74852,42192.74852
2022/4/4,46407.36,46890.71,45118,46580.51,44641.87514,44641.87514
2022/4/3,45810.99,47444.11,45530.92,46407.35,33394.67794,33394.67794
2022/4/2,46283.49,47213,45620,45811,37073.53582,37073.53582
2022/4/1,45510.35,46720.09,44200,46283.49,56271.06474,56271.06474
2022/3/31,47067.99,47600,45200,45510.34,48645.12667,48645.12667
2022/3/30,47434.79,47700.22,46445.42,47067.99,40947.2085,40947.2085
2022/3/29,47122.21,48096.47,46950.85,47434.8,36772.28457,36772.28457
2022/3/28,46827.76,48189.84,46663.56,47122.21,58949.2614,58949.2614
2022/3/27,44511.27,46999,44421.46,46827.76,41874.91071,41874.91071
2022/3/26,44313.16,44792.99,44071.97,44511.27,23041.61741,23041.61741
2022/3/25,43991.46,45094.14,43579,44313.16,54614.43648,54614.43648
2022/3/24,42882.76,44220.89,42560.46,43991.46,56195.12374,56195.12374
2022/3/23,42364.13,43025.96,41751.47,42882.76,40828.87039,40828.87039
2022/3/22,41002.26,43361,40875.51,42364.13,59454.94294,59454.94294
2022/3/21,41262.11,41544.22,40467.94,41002.25,39426.24877,39426.24877
2022/3/20,42201.13,42296.26,40911,41262.11,30653.33468,30653.33468
2022/3/19,41757.51,42400,41499.29,42201.13,29067.18108,29067.18108
2022/3/18,40917.89,42325.02,40135.04,41757.51,45408.00969,45408.00969
2022/3/17,41114.01,41478.82,40500,40917.9,37189.38087,37189.38087
2022/3/16,39280.33,41718,38828.48,41114,88120.76167,88120.76167
2022/3/15,39671.37,39887.61,38098.33,39280.33,46015.54926,46015.54926
